Date,Team1,Team2
12-Jun-14,Brazil,Croatia
13-Jun-14,Mexico,Cameroon
17-Jun-14,Brazil,Mexico
18-Jun-14,Cameroon,Croatia
23-Jun-14,Cameroon,Brazil
23-Jun-14,Croatia,Mexico
13-Jun-14,Spain,Netherlands
13-Jun-14,Chile,Australia
18-Jun-14,Spain,Chile
18-Jun-14,Australia,Netherlands
23-Jun-14,Australia,Spain
23-Jun-14,Netherlands,Chile
14-Jun-14,Colombia,Greece
15-Jun-14,Ivory Coast,Japan
19-Jun-14,Colombia,Ivory Coast
19-Jun-14,Japan,Greece
24-Jun-14,Japan,Colombia
24-Jun-14,Greece,Ivory Coast
14-Jun-14,Uruguay,Costa Rica
14-Jun-14,England,Italy
19-Jun-14,Uruguay,England
20-Jun-14,Italy,Costa Rica
24-Jun-14,Italy,Uruguay
24-Jun-14,Costa Rica,England
15-Jun-14,Switzerland,Ecuador
15-Jun-14,France,Honduras
20-Jun-14,Switzerland,France
20-Jun-14,Honduras,Ecuador
25-Jun-14,Honduras,Switzerland
25-Jun-14,Ecuador,France
15-Jun-14,Argentina,Bosnia-Herzegovina
16-Jun-14,Iran,Nigeria
21-Jun-14,Argentina,Iran
21-Jun-14,Nigeria,Bosnia-Herzegovina
25-Jun-14,Nigeria,Argentina
25-Jun-14,Bosnia-Herzegovina,Iran
16-Jun-14,Germany,Portugal
16-Jun-14,Ghana,United States
21-Jun-14,Germany,Ghana
22-Jun-14,United States,Portugal
26-Jun-14,United States,Germany
26-Jun-14,Portugal,Ghana
17-Jun-14,Belgium,Algeria
17-Jun-14,Russia,South Korea
22-Jun-14,Belgium,Russia
22-Jun-14,South Korea,Algeria
26-Jun-14,South Korea,Belgium
26-Jun-14,Algeria,Russia
